range,bubble,insertion,selection,merge
50000,8.562315,4.017484,3.579259,0.021918
50000,7.937856,3.250333,3.579707,0.022985
50000,8.574661,3.115835,3.478570,0.021414
50000,7.774645,3.198692,3.471382,0.022108
50000,8.045454,3.259044,3.478280,0.023081
50000,8.058267,3.238998,3.482310,0.025777
50000,8.743044,2.983046,3.580274,0.024599
50000,8.631345,3.587435,3.696787,0.021981
50000,7.947961,3.180510,3.580756,0.021468
50000,7.977438,3.060929,3.501042,0.021152
50000,7.864628,3.076512,3.495857,0.027255
50000,8.150170,3.124762,3.455222,0.027652
50000,7.980361,3.118513,3.456082,0.023474
50000,8.140323,3.029277,3.506420,0.023553
50000,7.828515,3.133288,3.405554,0.030871
50000,7.987431,3.081186,3.491056,0.027455
50000,7.972926,3.120673,3.548530,0.022058
50000,7.972335,3.077780,3.449219,0.021086
50000,7.706826,3.182792,3.422293,0.021834
50000,8.160722,3.278342,3.634343,0.024041
50000,8.186377,3.420742,3.491130,0.023526
50000,7.953579,3.117363,3.498747,0.021537
50000,7.889679,3.203664,3.501352,0.021738
50000,7.956639,3.276662,3.414911,0.022674
50000,8.221371,3.209739,3.494894,0.021410
50000,8.016375,3.081515,3.413412,0.021442
50000,7.847632,3.271582,3.532078,0.021463
50000,7.702557,3.054003,3.418795,0.023855
50000,7.842217,3.250416,3.508250,0.021198
50000,8.255329,3.178326,3.445809,0.023381
50000,7.927798,3.034194,3.472731,0.021194
50000,7.825123,3.067218,3.467018,0.021047
50000,7.924715,3.111262,3.453195,0.024369
50000,7.778491,3.199198,3.444390,0.021893
50000,8.018441,3.050571,3.413170,0.022566
50000,7.957821,3.102785,3.478708,0.022529
50000,7.986456,3.276846,3.469906,0.023427
55000,9.341378,3.620757,4.206101,0.022747
55000,9.624313,3.661170,4.182221,0.024775
55000,9.794110,3.643504,4.237506,0.022872
55000,9.551961,3.624968,4.130357,0.023151
55000,10.627834,3.908101,4.142550,0.031340
55000,9.378982,3.582489,4.234882,0.022535
55000,9.342937,3.611860,4.136481,0.024049
55000,9.868568,3.889018,4.173125,0.023274
55000,9.591577,3.682801,4.269042,0.028082
55000,10.061413,3.716577,4.267188,0.030537
55000,9.888836,3.661071,4.167640,0.023886
55000,9.793074,3.715995,4.231475,0.024693
55000,9.569417,3.713044,4.181747,0.023845
55000,9.586289,3.685757,4.191757,0.024337
55000,9.534418,3.676817,4.182104,0.024143
55000,9.602998,3.659518,4.181498,0.023741
55000,9.539106,3.763781,4.195423,0.023789
55000,9.596265,3.715147,4.172333,0.023994
55000,9.620981,3.754658,4.182874,0.024125
55000,9.651842,3.704162,4.168891,0.024737
55000,9.838265,3.793291,4.327618,0.025351
55000,9.979107,4.013516,4.275289,0.024368
55000,9.927748,3.674267,4.137429,0.023635
55000,10.179886,3.848546,4.248186,0.024142
55000,9.709076,3.724947,4.212325,0.025247
55000,9.714275,3.791379,4.202911,0.024766
55000,9.636369,3.780477,4.189932,0.023985
55000,9.622527,3.724914,4.187378,0.027103
55000,9.601638,3.741179,4.245186,0.027373
55000,10.366715,3.692269,4.286058,0.024133
55000,9.816351,3.778639,4.213817,0.028855
55000,9.730635,3.785291,4.222896,0.030177
55000,9.788099,3.740374,4.206650,0.023764
55000,9.696330,3.744962,4.220782,0.026334
55000,9.627681,3.821444,4.207455,0.023409
55000,9.583253,3.706255,4.185324,0.026122
55000,9.707887,3.801987,4.255832,0.023543
55000,9.541307,3.819665,4.188341,0.024029
55000,9.444777,3.614012,4.148594,0.022273
55000,9.267614,3.587208,4.146477,0.023061
55000,9.368132,3.550312,4.193160,0.028319
55000,9.446601,3.662978,4.172581,0.027719
55000,9.515298,3.594416,4.136932,0.023837
55000,9.911693,3.767359,4.217085,0.026297
55000,9.547535,3.678430,4.145032,0.023972
55000,9.658669,3.751490,4.259616,0.031361
55000,9.866318,4.020009,4.178136,0.028163
55000,9.656171,3.716102,4.152556,0.028620
55000,9.507934,3.695363,4.132973,0.023273
55000,9.430285,3.738105,4.149324,0.023470
60000,11.561707,4.429502,5.053606,0.029184
60000,11.518275,4.373473,4.943735,0.024541
60000,11.389934,4.230523,4.891865,0.025905
60000,11.121366,4.409732,4.991760,0.025466
60000,11.417290,4.539569,4.913031,0.025752
60000,11.156753,4.232119,4.886207,0.026090
60000,11.104405,4.268053,5.034347,0.025179
60000,11.313890,4.218678,4.902212,0.024913
60000,11.486213,4.319271,4.920970,0.027463
60000,11.359092,4.245021,4.914012,0.024598
60000,11.071021,4.278005,4.929479,0.027155
60000,11.104351,4.280113,4.918643,0.025174
60000,11.113893,4.315738,4.893315,0.024664
60000,11.068754,4.259119,4.905220,0.025368
60000,11.745291,4.440851,5.034893,0.025611
60000,11.288346,4.396679,4.930598,0.025371
60000,11.127203,4.299235,4.885377,0.025231
60000,11.125475,4.321864,4.912646,0.024788
60000,11.081025,4.298903,4.885758,0.024840
60000,11.100822,4.259929,4.898764,0.028016
60000,11.123613,4.214917,4.921370,0.024719
60000,11.217306,4.311219,4.892412,0.025656
60000,11.078091,4.224321,4.881336,0.025437
60000,11.128362,4.321435,4.886593,0.025120
60000,11.080316,4.216766,4.893555,0.024506
60000,11.163256,4.248870,4.905392,0.030790
60000,11.452059,4.344468,4.963367,0.025314
60000,11.403171,4.312610,4.916224,0.025367
60000,11.129566,4.322168,4.951546,0.028056
60000,11.322730,4.345062,4.964247,0.026407
60000,11.289656,4.366883,4.925709,0.024551
60000,11.209624,4.247782,4.887805,0.025310
60000,11.114599,4.280949,4.895746,0.026867
60000,11.070065,4.234322,4.930505,0.025220
60000,11.121399,4.250347,4.919437,0.025127
60000,11.071911,4.266894,4.917824,0.024668
60000,11.109798,4.253065,4.907628,0.025535
60000,11.101390,4.240634,4.883379,0.024829
60000,11.132176,4.245365,4.949460,0.026014
60000,11.065298,4.271664,4.882715,0.025514
60000,11.088044,4.263719,4.888354,0.024786
60000,11.241304,4.291834,4.892767,0.025389
60000,11.043242,4.280157,4.899963,0.025856
60000,11.051269,4.240866,4.929337,0.026273
60000,11.112965,4.229274,4.869647,0.024737
60000,11.068702,4.257918,4.886357,0.025193
60000,11.093679,4.279477,4.934987,0.031864
60000,11.098487,4.219607,4.881649,0.024626
60000,11.103800,4.275665,4.880837,0.025190
60000,11.023199,4.236896,4.927314,0.025041
65000,13.078007,4.966356,5.733003,0.026579
65000,13.026578,4.997275,5.735293,0.031753
65000,13.108549,4.958798,5.739291,0.028229
65000,13.013314,5.080359,5.755776,0.027561
65000,13.046103,5.089753,5.783690,0.028019
